# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#         x_e = electron ionization fraction
#      -kappa = optical depth
#      kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#           g = kappa' e^-kappa = visibility function 
#          Tb = baryon temperature 
#         w_b = baryon equation of state parameter 
#       c_b^2 = baryon sound speed squared 
#       tau_d = baryon drag optical depth 
#    1:scale factor a         2:z                      3:conf. time [Mpc]       4:x_e                    5:kappa' [Mpc^-1]        6:exp(-kappa)            7:g [Mpc^-1]             8:Tb [K]                 9:dTb [K]               10:w_b                   11:c_b^2                 12:tau_d              
       4.705633206269e-01       1.125112511251e+00       1.036961266642e+04       1.163687873288e+00       2.045240469695e-06       9.960833704823e-01       2.037230020501e-06       1.492744295100e+00       1.268008568036e+00       2.322032726831e-13       3.719255893530e-13       9.449699080805e-06 
       4.672648254591e-01       1.140114011401e+00       1.033536484763e+04       1.163687494260e+00       2.074217053805e-06       9.960131067350e-01       2.065947371803e-06       1.511807948963e+00       1.273558503405e+00       2.351686724352e-13       3.764931532234e-13       9.671328776841e-06 
       4.640122511485e-01       1.155115511551e+00       1.030141157923e+04       1.163687091796e+00       2.103397412080e-06       9.959424688817e-01       2.094862811626e-06       1.530954590626e+00       1.279055037014e+00       2.381469778320e-13       3.810762873134e-13       9.895721545971e-06 
       4.608046453754e-01       1.170117011701e+00       1.026774937772e+04       1.163686664449e+00       2.132781539892e-06       9.958714598837e-01       2.123976265745e-06       1.550183262223e+00       1.284498012191e+00       2.411380396177e-13       3.856746999769e-13       1.012288499324e-05 
       4.576410819717e-01       1.185118511851e+00       1.023437479740e+04       1.163686210679e+00       2.162369432272e-06       9.958000826556e-01       2.153287659389e-06       1.569493160778e+00       1.289887422475e+00       2.441417326115e-13       3.902881401647e-13       1.035282668222e-05 
       4.545206600300e-01       1.200120012001e+00       1.020128443064e+04       1.163685728854e+00       2.192161083890e-06       9.957283400655e-01       2.182796917218e-06       1.588883487372e+00       1.295223264738e+00       2.471579322447e-13       3.949163577893e-13       1.058555413581e-05 
       4.514425030475e-01       1.215121512151e+00       1.016847490787e+04       1.163685217239e+00       2.222156489026e-06       9.956562349361e-01       2.212503963302e-06       1.608353442643e+00       1.300505534829e+00       2.501865138588e-13       3.995591025344e-13       1.082107483970e-05 
       4.484057581057e-01       1.230123012301e+00       1.013594289796e+04       1.163684673992e+00       2.252355641542e-06       9.955837700455e-01       2.242408721089e-06       1.627902226784e+00       1.305734227577e+00       2.532273527031e-13       4.042161238486e-13       1.105939624198e-05 
       4.454095950822e-01       1.245124512451e+00       1.010368510808e+04       1.163684097159e+00       2.282758534855e-06       9.955109481272e-01       2.272511113379e-06       1.647529039538e+00       1.310909336796e+00       2.562803239342e-13       4.088871709403e-13       1.130052575653e-05 
       4.424532058941e-01       1.260126012601e+00       1.007169828389e+04       1.163683484663e+00       2.313365161903e-06       9.954377718718e-01       2.302811062291e-06       1.667233080205e+00       1.316030855287e+00       2.593453026132e-13       4.135719927706e-13       1.154447076311e-05 
       4.395358037716e-01       1.275127512751e+00       1.003997920951e+04       1.163682834299e+00       2.344175515109e-06       9.953642439272e-01       2.333308489229e-06       1.687013547637e+00       1.321098774843e+00       2.624221637050e-13       4.182703380481e-13       1.179123860946e-05 
       4.366566225599e-01       1.290129012901e+00       1.000852470743e+04       1.163682143729e+00       2.375189586346e-06       9.952903668992e-01       2.364003314849e-06       1.706869640242e+00       1.326113086251e+00       2.655107820756e-13       4.229819552215e-13       1.204083661271e-05 
       4.338149160484e-01       1.305130513051e+00       9.977331638595e+03       1.163681410466e+00       2.406407366897e-06       9.952161433528e-01       2.394895459019e-06       1.726800555980e+00       1.331073779296e+00       2.686110324903e-13       4.277065924737e-13       1.229327205977e-05 
       4.310099573257e-01       1.320132013201e+00       9.946396902126e+03       1.163680631872e+00       2.437828847413e-06       9.951415758122e-01       2.425984840775e-06       1.746805492367e+00       1.335980842765e+00       2.717227896119e-13       4.324439977143e-13       1.254855220985e-05 
       4.282410381601e-01       1.335133513351e+00       9.915717435395e+03       1.163679805145e+00       2.469454017869e-06       9.950666667620e-01       2.457271378283e-06       1.766883646469e+00       1.340834264449e+00       2.748459279976e-13       4.371939185734e-13       1.280668429413e-05 
       4.255074684029e-01       1.350135013501e+00       9.885290213750e+03       1.163678927311e+00       2.501282867511e-06       9.949914186479e-01       2.488754988784e-06       1.787034214910e+00       1.345634031147e+00       2.779803220972e-13       4.419561023935e-13       1.306767551786e-05 
       4.228085754155e-01       1.365136513651e+00       9.855112250396e+03       1.163677995211e+00       2.533315384808e-06       9.949158338772e-01       2.520435588550e-06       1.807256271105e+00       1.350380020152e+00       2.811258271542e-13       4.467302638184e-13       1.333153306090e-05 
       4.201437035170e-01       1.380138013801e+00       9.825180596248e+03       1.163677005493e+00       2.565551557397e-06       9.948399148196e-01       2.552313092826e-06       1.827548990922e+00       1.355072200637e+00       2.842823143052e-13       4.515161443189e-13       1.359826407836e-05 
       4.175122134536e-01       1.395139513951e+00       9.795492339610e+03       1.163675954596e+00       2.597991372020e-06       9.947636638079e-01       2.584387415772e-06       1.847911784779e+00       1.359710746560e+00       2.874496911254e-13       4.563135471158e-13       1.386787570234e-05 
       4.149134818872e-01       1.410141014101e+00       9.766044606076e+03       1.163674838741e+00       2.630634814462e-06       9.946870831388e-01       2.616658470401e-06       1.868343838684e+00       1.364295632008e+00       2.906278302316e-13       4.611222160080e-13       1.414037504165e-05 
