#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]        
       1.291288536092e+00       2.791425243956e-06      -1.818859535019e+00       3.605315542686e-01       2.205423479976e-06       5.513558699941e-06       1.897278968357e-11       1.102711739988e-06      -1.364144652491e+00       3.605315598886e-01       6.302119234447e-01       6.302165965026e-01      -1.382926555647e+00       4.179548148337e-01      -5.215961593681e-01      -5.759249731796e-02       2.133327182074e-11       3.333332670647e-01 
       1.291288536314e+00       2.791425244436e-06      -1.818859535175e+00       3.605315543075e-01       2.205423480973e-06       5.513558702434e-06       1.897278969868e-11       1.102711740487e-06      -1.364144652608e+00       3.605315599275e-01       6.302119234012e-01       6.302165964904e-01      -1.382926555777e+00       4.179548149014e-01      -5.215961595357e-01      -5.759249734688e-02       4.266644513971e-11       3.333332670647e-01 
       1.291288536536e+00       2.791425244917e-06      -1.818859535330e+00       3.605315543464e-01       2.205423481971e-06       5.513558704926e-06       1.897278971378e-11       1.102711740985e-06      -1.364144652725e+00       3.605315599664e-01       6.302119233578e-01       6.302165964781e-01      -1.382926555906e+00       4.179548149691e-01      -5.215961597034e-01      -5.759249737579e-02       6.399951788116e-11       3.333332670647e-01 
       1.291288537503e+00       2.791425247014e-06      -1.818859536009e+00       3.605315545162e-01       2.205423486322e-06       5.513558715806e-06       1.897278977973e-11       1.102711743161e-06      -1.364144653233e+00       3.605315601361e-01       6.302119231683e-01       6.302165964248e-01      -1.382926556470e+00       4.179548152646e-01      -5.215961604352e-01      -5.759249750198e-02       1.571017660342e-10       3.333332670647e-01 
       1.291288538471e+00       2.791425249111e-06      -1.818859536687e+00       3.605315546859e-01       2.205423490674e-06       5.513558726685e-06       1.897278984567e-11       1.102711745337e-06      -1.364144653742e+00       3.605315603059e-01       6.302119229789e-01       6.302165963715e-01      -1.382926557035e+00       4.179548155601e-01      -5.215961611669e-01      -5.759249762817e-02       2.502021334439e-10       3.333332670647e-01 
       1.291288539439e+00       2.791425251208e-06      -1.818859537366e+00       3.605315548557e-01       2.205423495026e-06       5.513558737564e-06       1.897278991161e-11       1.102711747513e-06      -1.364144654251e+00       3.605315604757e-01       6.302119227894e-01       6.302165963182e-01      -1.382926557599e+00       4.179548158556e-01      -5.215961618987e-01      -5.759249775435e-02       3.433005904553e-10       3.333332670647e-01 
       1.291288540406e+00       2.791425253304e-06      -1.818859538044e+00       3.605315550254e-01       2.205423499378e-06       5.513558748444e-06       1.897278997755e-11       1.102711749689e-06      -1.364144654760e+00       3.605315606454e-01       6.302119225999e-01       6.302165962649e-01      -1.382926558164e+00       4.179548161511e-01      -5.215961626305e-01      -5.759249788054e-02       4.363971266304e-10       3.333332670647e-01 
       1.291288543292e+00       2.791425259556e-06      -1.818859540067e+00       3.605315555316e-01       2.205423512353e-06       5.513558780882e-06       1.897279017416e-11       1.102711756176e-06      -1.364144656277e+00       3.605315611516e-01       6.302119220350e-01       6.302165961059e-01      -1.382926559846e+00       4.179548170322e-01      -5.215961648123e-01      -5.759249825679e-02       7.139625646720e-10       3.333332670647e-01 
       1.291288546177e+00       2.791425265809e-06      -1.818859542090e+00       3.605315560377e-01       2.205423525328e-06       5.513558813320e-06       1.897279037077e-11       1.102711762664e-06      -1.364144657794e+00       3.605315616577e-01       6.302119214700e-01       6.302165959470e-01      -1.382926561529e+00       4.179548179133e-01      -5.215961669941e-01      -5.759249863303e-02       9.915109102161e-10       3.333332670647e-01 
       1.291288549062e+00       2.791425272061e-06      -1.818859544113e+00       3.605315565439e-01       2.205423538303e-06       5.513558845758e-06       1.897279056738e-11       1.102711769152e-06      -1.364144659311e+00       3.605315621638e-01       6.302119209052e-01       6.302165957880e-01      -1.382926563212e+00       4.179548187944e-01      -5.215961691759e-01      -5.759249900927e-02       1.269042163807e-09       3.333332670647e-01 
       1.291288551948e+00       2.791425278313e-06      -1.818859546135e+00       3.605315570500e-01       2.205423551278e-06       5.513558878196e-06       1.897279076399e-11       1.102711775639e-06      -1.364144660828e+00       3.605315626700e-01       6.302119203403e-01       6.302165956290e-01      -1.382926564895e+00       4.179548196755e-01      -5.215961713578e-01      -5.759249938551e-02       1.546556326678e-09       3.333332670647e-01 
       1.291288563716e+00       2.791425303812e-06      -1.818859554386e+00       3.605315591143e-01       2.205423604198e-06       5.513559010494e-06       1.897279156587e-11       1.102711802099e-06      -1.364144667016e+00       3.605315647343e-01       6.302119180368e-01       6.302165949807e-01      -1.382926571758e+00       4.179548232690e-01      -5.215961802563e-01      -5.759250092002e-02       2.678223851200e-09       3.333332670647e-01 
       1.291288575483e+00       2.791425329311e-06      -1.818859562636e+00       3.605315611787e-01       2.205423657117e-06       5.513559142792e-06       1.897279236775e-11       1.102711828558e-06      -1.364144673204e+00       3.605315667986e-01       6.302119157336e-01       6.302165943324e-01      -1.382926578622e+00       4.179548268625e-01      -5.215961891549e-01      -5.759250245453e-02       3.809607183179e-09       3.333332670647e-01 
       1.291288587251e+00       2.791425354810e-06      -1.818859570886e+00       3.605315632430e-01       2.205423710036e-06       5.513559275091e-06       1.897279316963e-11       1.102711855018e-06      -1.364144679391e+00       3.605315688630e-01       6.302119134309e-01       6.302165936840e-01      -1.382926585485e+00       4.179548304560e-01      -5.215961980535e-01      -5.759250398904e-02       4.940706395655e-09       3.333332670647e-01 
       1.291288599019e+00       2.791425380309e-06      -1.818859579136e+00       3.605315653073e-01       2.205423762956e-06       5.513559407389e-06       1.897279397151e-11       1.102711881478e-06      -1.364144685579e+00       3.605315709273e-01       6.302119111287e-01       6.302165930357e-01      -1.382926592348e+00       4.179548340496e-01      -5.215962069521e-01      -5.759250552355e-02       6.071521564118e-09       3.333332670647e-01 
       1.291288624789e+00       2.791425436150e-06      -1.818859597203e+00       3.605315698280e-01       2.205423878844e-06       5.513559697111e-06       1.897279572756e-11       1.102711939422e-06      -1.364144699129e+00       3.605315754480e-01       6.302119060883e-01       6.302165916159e-01      -1.382926607379e+00       4.179548419190e-01      -5.215962264393e-01      -5.759250888399e-02       8.546914900430e-09       3.333332670646e-01 
       1.291288650560e+00       2.791425491991e-06      -1.818859615271e+00       3.605315743487e-01       2.205423994733e-06       5.513559986833e-06       1.897279748360e-11       1.102711997367e-06      -1.364144712680e+00       3.605315799686e-01       6.302119010499e-01       6.302165901961e-01      -1.382926622409e+00       4.179548497885e-01      -5.215962459264e-01      -5.759251224443e-02       1.102094718720e-08       3.333332670646e-01 
