# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  123       4.652466311808e-10       1.415466608749e-13      -5.039920134227e-12       6.275889384778e-16       5.838344201781e-12       9.070160366413e-13      -5.682643655261e-15 
  124       4.698796725192e-10       1.426041412281e-13      -5.111409502560e-12       6.382544808540e-16       5.709471602999e-12       8.914882545531e-13      -5.607670876248e-15 
  125       4.745196612724e-10       1.436032101487e-13      -5.181251220131e-12       6.490303549449e-16       5.583997165805e-12       8.762826765392e-13      -5.532108766016e-15 
  126       4.791658056000e-10       1.445428970680e-13      -5.249375186029e-12       6.599173436910e-16       5.461917807979e-12       8.614047758051e-13      -5.456138074744e-15 
  127       4.838172428328e-10       1.454222845781e-13      -5.315711610961e-12       6.709162383144e-16       5.343213233114e-12       8.468584202298e-13      -5.379945851829e-15 
  128       4.884730374708e-10       1.462405100300e-13      -5.380191052942e-12       6.820278382841e-16       5.227845443994e-12       8.326458230686e-13      -5.303725508920e-15 
  129       4.931321791813e-10       1.469967671329e-13      -5.442744452999e-12       6.932529512821e-16       5.115758255968e-12       8.187674936559e-13      -5.227676882957e-15 
  130       4.977935807971e-10       1.476903075536e-13      -5.503303170865e-12       7.045923931682e-16       5.006876810324e-12       8.052221881073e-13      -5.152006299213e-15 
  131       5.024560763139e-10       1.483204425148e-13      -5.561799020673e-12       7.160469879461e-16       4.901107087667e-12       7.920068600229e-13      -5.076926634326e-15 
  132       5.071184188892e-10       1.488865443947e-13      -5.618164306661e-12       7.276175677284e-16       4.798335421291e-12       7.791166111893e-13      -5.002657379342e-15 
  133       5.117792788395e-10       1.493880483254e-13      -5.672331858858e-12       7.393049727024e-16       4.698428010558e-12       7.665446422827e-13      -4.929424702752e-15 
  134       5.164372416391e-10       1.498244537928e-13      -5.724235068791e-12       7.511100510958e-16       4.601230434267e-12       7.542822035711e-13      -4.857461513529e-15 
  135       5.210908059176e-10       1.501953262344e-13      -5.773807925176e-12       7.630336591415e-16       4.506567164035e-12       7.423185456173e-13      -4.787007524168e-15 
  136       5.257383814580e-10       1.505002986396e-13      -5.820985049618e-12       7.750766610438e-16       4.414241077671e-12       7.306408699813e-13      -4.718309313722e-15 
  137       5.303784266718e-10       1.507391002651e-13      -5.865702346967e-12       7.872399017445e-16       4.324075290260e-12       7.192368811879e-13      -4.651560047172e-15 
  138       5.350098813166e-10       1.509116427549e-13      -5.907898956789e-12       7.995241221146e-16       4.236044562890e-12       7.081028450227e-13      -4.586711460010e-15 
  139       5.396317749682e-10       1.510179460055e-13      -5.947515572455e-12       8.119300348804e-16       4.150156632638e-12       6.972362745143e-13      -4.523642446924e-15 
  140       5.442430904553e-10       1.510581136028e-13      -5.984493883829e-12       8.244583508300e-16       4.066410898950e-12       6.866333710059e-13      -4.462217342790e-15 
  141       5.488427627426e-10       1.510323345929e-13      -6.018776616868e-12       8.371097786063e-16       3.984798205624e-12       6.762889913691e-13      -4.402285602695e-15 
  142       5.534296778145e-10       1.509408852536e-13      -6.050307573220e-12       8.498850244998e-16       3.905300622774e-12       6.661966152173e-13      -4.343681481962e-15 
  143       5.580026715580e-10       1.507841308653e-13      -6.079031669819e-12       8.627847922412e-16       3.827891228813e-12       6.563483121185e-13      -4.286223716176e-15 
  144       5.625605286463e-10       1.505625274824e-13      -6.104894978487e-12       8.758097827948e-16       3.752533892417e-12       6.467347088090e-13      -4.229715201210e-15 
  145       5.671019814219e-10       1.502766237037e-13      -6.127844765533e-12       8.889606941508e-16       3.679183054509e-12       6.373449564070e-13      -4.173942673251e-15 
  146       5.716257087801e-10       1.499270624446e-13      -6.147829531346e-12       9.022382211185e-16       3.607783510223e-12       6.281666976254e-13      -4.118676388821e-15 
  147       5.761303350524e-10       1.495145827073e-13      -6.164799050000e-12       9.156430551192e-16       3.538270190887e-12       6.191860339855e-13      -4.063669804809e-15 
  148       5.806144288895e-10       1.490400213522e-13      -6.178704408847e-12       9.291758839788e-16       3.470567945988e-12       6.103874930303e-13      -4.008659258491e-15 
  149       5.850765021448e-10       1.485043148694e-13      -6.189498048119e-12       9.428373917208e-16       3.404591325152e-12       6.017539955377e-13      -3.953363647559e-15 
  150       5.895150087578e-10       1.479085011492e-13      -6.197133800525e-12       9.566282583593e-16       3.340244360117e-12       5.932668227340e-13      -3.897484110143e-15 
  151       5.939283436374e-10       1.472537212537e-13      -6.201566930847e-12       9.705491596917e-16       3.277420346702e-12       5.849055835072e-13      -3.840703704840e-15 
  152       5.983148415450e-10       1.465412211877e-13      -6.202754175544e-12       9.846007670915e-16       3.216001626786e-12       5.766481816203e-13      -3.782687090736e-15 
  153       6.026728981693e-10       1.457723371494e-13      -6.200654013455e-12       9.987836925070e-16       3.155883915675e-12       5.684759006271e-13      -3.723161885940e-15 
  154       6.070013483616e-10       1.449484460129e-13      -6.195227422898e-12       1.013098318141e-15       3.097052287086e-12       5.603892593767e-13      -3.662171924662e-15 
  155       6.112991210869e-10       1.440710135990e-13      -6.186437270764e-12       1.027544950474e-15       3.039511867173e-12       5.523935744225e-13      -3.599847036624e-15 
  156       6.155651199022e-10       1.431416124552e-13      -6.174248128165e-12       1.042123873153e-15       2.983263831566e-12       5.444939680893e-13      -3.536323579143e-15 
  157       6.197982224617e-10       1.421619235425e-13      -6.158626311206e-12       1.056835346504e-15       2.928305312360e-12       5.366953617517e-13      -3.471744533148e-15 
  158       6.239972800223e-10       1.411337379224e-13      -6.139539921763e-12       1.071679607049e-15       2.874629305095e-12       5.290024691113e-13      -3.406259599185e-15 
  159       6.281611169498e-10       1.400589584439e-13      -6.116958888260e-12       1.086656867017e-15       2.822224575736e-12       5.214197894740e-13      -3.340025293427e-15 
  160       6.322885302241e-10       1.389396014307e-13      -6.090855006441e-12       1.101767313858e-15       2.771075567658e-12       5.139516010280e-13      -3.273205043687e-15 
